constraint,phase,office,service,dual
flow_out,0,A1,P,-2.0
flow_out,0,A1,S,-0.0
flow_out,0,A1,O,-0.0
flow_out,0,A1,T,-0.0
flow_out,0,A1,M,-0.0
flow_out,0,A2,P,-2.0
flow_out,0,A2,S,-0.0
flow_out,0,A2,O,-0.0
flow_out,0,A2,T,-0.0
flow_out,0,A2,M,-0.0
flow_out,0,B1,P,-0.0
flow_out,0,B1,S,-0.0
flow_out,0,B1,O,-2.0
flow_out,0,B1,T,-0.0
flow_out,0,B1,M,-1.0
flow_out,0,B2,P,-0.0
flow_out,0,B2,S,-2.0
flow_out,0,B2,O,-0.0
flow_out,0,B2,T,-0.0
flow_out,0,B2,M,-0.0
flow_out,0,B3,P,-0.0
flow_out,0,B3,S,-0.0
flow_out,0,B3,O,-2.0
flow_out,0,B3,T,-2.0
flow_out,0,B3,M,-0.0
flow_out,0,C1,P,-0.0
flow_out,0,C1,S,-0.0
flow_out,0,C1,O,-0.0
flow_out,0,C1,T,-1.0
flow_out,0,C1,M,-0.0
flow_out,0,C2,P,-0.0
flow_out,0,C2,S,-2.0
flow_out,0,C2,O,-0.0
flow_out,0,C2,T,-0.0
flow_out,0,C2,M,-0.0
flow_out,0,D1,P,-0.0
flow_out,0,D1,S,-0.0
flow_out,0,D1,O,-0.0
flow_out,0,D1,T,-1.0
flow_out,0,D1,M,-0.0
flow_out,0,D2,P,-0.0
flow_out,0,D2,S,-0.0
flow_out,0,D2,O,-0.0
flow_out,0,D2,T,-0.0
flow_out,0,D2,M,-0.0
flow_out,0,D3,P,-0.0
flow_out,0,D3,S,-0.0
flow_out,0,D3,O,-0.0
flow_out,0,D3,T,-0.0
flow_out,0,D3,M,-0.0
flow_out,0,E1,P,-0.0
flow_out,0,E1,S,-0.0
flow_out,0,E1,O,-0.0
flow_out,0,E1,T,-0.0
flow_out,0,E1,M,-0.0
flow_out,0,E2,P,-0.0
flow_out,0,E2,S,-0.0
flow_out,0,E2,O,-0.0
flow_out,0,E2,T,-0.0
flow_out,0,E2,M,-0.0
flow_out,1,A1,P,-1.0
flow_out,1,A1,S,-0.0
flow_out,1,A1,O,-0.0
flow_out,1,A1,T,-0.0
flow_out,1,A1,M,1.0
flow_out,1,A2,P,-1.0
flow_out,1,A2,S,-0.0
flow_out,1,A2,O,-0.0
flow_out,1,A2,T,-0.0
flow_out,1,A2,M,1.0
flow_out,1,B1,P,-0.0
flow_out,1,B1,S,-0.0
flow_out,1,B1,O,-0.0
flow_out,1,B1,T,-0.0
flow_out,1,B1,M,1.0
flow_out,1,B2,P,-0.0
flow_out,1,B2,S,-0.0
flow_out,1,B2,O,-0.0
flow_out,1,B2,T,-0.0
flow_out,1,B2,M,1.0
flow_out,1,B3,P,-0.0
flow_out,1,B3,S,-0.0
flow_out,1,B3,O,-0.0
flow_out,1,B3,T,-0.0
flow_out,1,B3,M,1.0
flow_out,1,C1,P,-0.0
flow_out,1,C1,S,-0.0
flow_out,1,C1,O,-0.0
flow_out,1,C1,T,-0.0
flow_out,1,C1,M,-0.0
flow_out,1,C2,P,-0.0
flow_out,1,C2,S,-1.0
flow_out,1,C2,O,-0.0
flow_out,1,C2,T,-0.0
flow_out,1,C2,M,1.0
flow_out,1,D1,P,-1.0
flow_out,1,D1,S,-1.0
flow_out,1,D1,O,-1.0
flow_out,1,D1,T,-1.0
flow_out,1,D1,M,-0.0
flow_out,1,D2,P,-1.0
flow_out,1,D2,S,-1.0
flow_out,1,D2,O,-1.0
flow_out,1,D2,T,-1.0
flow_out,1,D2,M,-0.0
flow_out,1,D3,P,-1.0
flow_out,1,D3,S,-1.0
flow_out,1,D3,O,-1.0
flow_out,1,D3,T,-1.0
flow_out,1,D3,M,-0.0
flow_out,1,E1,P,-0.0
flow_out,1,E1,S,-0.0
flow_out,1,E1,O,-0.0
flow_out,1,E1,T,-0.0
flow_out,1,E1,M,1.0
flow_out,1,E2,P,-0.0
flow_out,1,E2,S,-0.0
flow_out,1,E2,O,-0.0
flow_out,1,E2,T,-0.0
flow_out,1,E2,M,1.0
flow_out,2,A1,P,-1.0
flow_out,2,A1,S,-0.0
flow_out,2,A1,O,-0.0
flow_out,2,A1,T,-0.0
flow_out,2,A1,M,1.0
flow_out,2,A2,P,-1.0
flow_out,2,A2,S,-0.0
flow_out,2,A2,O,-0.0
flow_out,2,A2,T,-0.0
flow_out,2,A2,M,1.0
flow_out,2,B1,P,-0.0
flow_out,2,B1,S,-0.0
flow_out,2,B1,O,-0.0
flow_out,2,B1,T,-0.0
flow_out,2,B1,M,1.0
flow_out,2,B2,P,-0.0
flow_out,2,B2,S,-0.0
flow_out,2,B2,O,-0.0
flow_out,2,B2,T,-0.0
flow_out,2,B2,M,1.0
flow_out,2,B3,P,-0.0
flow_out,2,B3,S,-0.0
flow_out,2,B3,O,-0.0
flow_out,2,B3,T,-0.0
flow_out,2,B3,M,1.0
flow_out,2,C1,P,-0.0
flow_out,2,C1,S,-0.0
flow_out,2,C1,O,-0.0
flow_out,2,C1,T,-0.0
flow_out,2,C1,M,-0.0
flow_out,2,C2,P,-0.0
flow_out,2,C2,S,-1.0
flow_out,2,C2,O,-0.0
flow_out,2,C2,T,-0.0
flow_out,2,C2,M,1.0
flow_out,2,D1,P,-0.0
flow_out,2,D1,S,-0.0
flow_out,2,D1,O,-0.0
flow_out,2,D1,T,1.0
flow_out,2,D1,M,-0.0
flow_out,2,D2,P,-0.0
flow_out,2,D2,S,-0.0
flow_out,2,D2,O,-0.0
flow_out,2,D2,T,1.0
flow_out,2,D2,M,-0.0
flow_out,2,D3,P,-0.0
flow_out,2,D3,S,-0.0
flow_out,2,D3,O,-0.0
flow_out,2,D3,T,1.0
flow_out,2,D3,M,-0.0
flow_out,2,E1,P,-0.0
flow_out,2,E1,S,-0.0
flow_out,2,E1,O,-0.0
flow_out,2,E1,T,-0.0
flow_out,2,E1,M,1.0
flow_out,2,E2,P,-0.0
flow_out,2,E2,S,-0.0
flow_out,2,E2,O,-0.0
flow_out,2,E2,T,-0.0
flow_out,2,E2,M,1.0
flow_out,3,A1,P,-1.0
flow_out,3,A1,S,-0.0
flow_out,3,A1,O,-0.0
flow_out,3,A1,T,-0.0
flow_out,3,A1,M,1.0
flow_out,3,A2,P,-1.0
flow_out,3,A2,S,-0.0
flow_out,3,A2,O,-0.0
flow_out,3,A2,T,-0.0
flow_out,3,A2,M,-0.0
flow_out,3,B1,P,-0.0
flow_out,3,B1,S,-0.0
flow_out,3,B1,O,-0.0
flow_out,3,B1,T,-0.0
flow_out,3,B1,M,1.0
flow_out,3,B2,P,-0.0
flow_out,3,B2,S,-0.0
flow_out,3,B2,O,-0.0
flow_out,3,B2,T,-0.0
flow_out,3,B2,M,1.0
flow_out,3,B3,P,-0.0
flow_out,3,B3,S,-0.0
flow_out,3,B3,O,-0.0
flow_out,3,B3,T,-0.0
flow_out,3,B3,M,1.0
flow_out,3,C1,P,-0.0
flow_out,3,C1,S,1.0
flow_out,3,C1,O,-0.0
flow_out,3,C1,T,-0.0
flow_out,3,C1,M,-0.0
flow_out,3,C2,P,-0.0
flow_out,3,C2,S,1.0
flow_out,3,C2,O,-0.0
flow_out,3,C2,T,-0.0
flow_out,3,C2,M,-0.0
flow_out,3,D1,P,-0.0
flow_out,3,D1,S,-0.0
flow_out,3,D1,O,-0.0
flow_out,3,D1,T,1.0
flow_out,3,D1,M,-0.0
flow_out,3,D2,P,-0.0
flow_out,3,D2,S,-0.0
flow_out,3,D2,O,-0.0
flow_out,3,D2,T,1.0
flow_out,3,D2,M,-0.0
flow_out,3,D3,P,-0.0
flow_out,3,D3,S,-0.0
flow_out,3,D3,O,-0.0
flow_out,3,D3,T,1.0
flow_out,3,D3,M,-0.0
flow_out,3,E1,P,-0.0
flow_out,3,E1,S,-0.0
flow_out,3,E1,O,-0.0
flow_out,3,E1,T,-0.0
flow_out,3,E1,M,1.0
flow_out,3,E2,P,-0.0
flow_out,3,E2,S,-0.0
flow_out,3,E2,O,-0.0
flow_out,3,E2,T,-0.0
flow_out,3,E2,M,1.0
flow_out,4,A1,P,1.0
flow_out,4,A1,S,-0.0
flow_out,4,A1,O,-0.0
flow_out,4,A1,T,-0.0
flow_out,4,A1,M,-0.0
flow_out,4,A2,P,1.0
flow_out,4,A2,S,-0.0
flow_out,4,A2,O,-0.0
flow_out,4,A2,T,-0.0
flow_out,4,A2,M,-0.0
flow_out,4,B1,P,-0.0
flow_out,4,B1,S,-0.0
flow_out,4,B1,O,-0.0
flow_out,4,B1,T,-0.0
flow_out,4,B1,M,1.0
flow_out,4,B2,P,-0.0
flow_out,4,B2,S,-0.0
flow_out,4,B2,O,-0.0
flow_out,4,B2,T,-0.0
flow_out,4,B2,M,1.0
flow_out,4,B3,P,-0.0
flow_out,4,B3,S,-0.0
flow_out,4,B3,O,-0.0
flow_out,4,B3,T,-0.0
flow_out,4,B3,M,1.0
flow_out,4,C1,P,-0.0
flow_out,4,C1,S,1.0
flow_out,4,C1,O,-0.0
flow_out,4,C1,T,-0.0
flow_out,4,C1,M,-0.0
flow_out,4,C2,P,-0.0
flow_out,4,C2,S,1.0
flow_out,4,C2,O,-0.0
flow_out,4,C2,T,-0.0
flow_out,4,C2,M,-0.0
flow_out,4,D1,P,-0.0
flow_out,4,D1,S,-0.0
flow_out,4,D1,O,-0.0
flow_out,4,D1,T,1.0
flow_out,4,D1,M,-0.0
flow_out,4,D2,P,-0.0
flow_out,4,D2,S,-0.0
flow_out,4,D2,O,-0.0
flow_out,4,D2,T,1.0
flow_out,4,D2,M,-0.0
flow_out,4,D3,P,-0.0
flow_out,4,D3,S,-0.0
flow_out,4,D3,O,-0.0
flow_out,4,D3,T,1.0
flow_out,4,D3,M,-0.0
flow_out,4,E1,P,-0.0
flow_out,4,E1,S,-0.0
flow_out,4,E1,O,-0.0
flow_out,4,E1,T,-0.0
flow_out,4,E1,M,-0.0
flow_out,4,E2,P,-0.0
flow_out,4,E2,S,-0.0
flow_out,4,E2,O,-0.0
flow_out,4,E2,T,-0.0
flow_out,4,E2,M,-0.0
flow_in,1,A1,P,2.0
flow_in,1,A1,S,1.0
flow_in,1,A1,O,1.0
flow_in,1,A1,T,1.0
flow_in,1,A1,M,-0.0
flow_in,1,A2,P,2.0
flow_in,1,A2,S,1.0
flow_in,1,A2,O,1.0
flow_in,1,A2,T,1.0
flow_in,1,A2,M,-0.0
flow_in,1,B1,P,1.0
flow_in,1,B1,S,1.0
flow_in,1,B1,O,2.0
flow_in,1,B1,T,1.0
flow_in,1,B1,M,1.0
flow_in,1,B2,P,1.0
flow_in,1,B2,S,2.0
flow_in,1,B2,O,1.0
flow_in,1,B2,T,1.0
flow_in,1,B2,M,-0.0
flow_in,1,B3,P,1.0
flow_in,1,B3,S,1.0
flow_in,1,B3,O,2.0
flow_in,1,B3,T,2.0
flow_in,1,B3,M,-0.0
flow_in,1,C1,P,1.0
flow_in,1,C1,S,1.0
flow_in,1,C1,O,1.0
flow_in,1,C1,T,1.0
flow_in,1,C1,M,1.0
flow_in,1,C2,P,1.0
flow_in,1,C2,S,2.0
flow_in,1,C2,O,1.0
flow_in,1,C2,T,1.0
flow_in,1,C2,M,-0.0
flow_in,1,D1,P,1.0
flow_in,1,D1,S,1.0
flow_in,1,D1,O,1.0
flow_in,1,D1,T,1.0
flow_in,1,D1,M,-0.0
flow_in,1,D2,P,1.0
flow_in,1,D2,S,1.0
flow_in,1,D2,O,1.0
flow_in,1,D2,T,1.0
flow_in,1,D2,M,-0.0
flow_in,1,D3,P,1.0
flow_in,1,D3,S,1.0
flow_in,1,D3,O,1.0
flow_in,1,D3,T,1.0
flow_in,1,D3,M,-0.0
flow_in,1,E1,P,1.0
flow_in,1,E1,S,1.0
flow_in,1,E1,O,1.0
flow_in,1,E1,T,1.0
flow_in,1,E1,M,-0.0
flow_in,1,E2,P,1.0
flow_in,1,E2,S,1.0
flow_in,1,E2,O,1.0
flow_in,1,E2,T,1.0
flow_in,1,E2,M,-0.0
flow_in,2,A1,P,1.0
flow_in,2,A1,S,-0.0
flow_in,2,A1,O,-0.0
flow_in,2,A1,T,-0.0
flow_in,2,A1,M,-1.0
flow_in,2,A2,P,1.0
flow_in,2,A2,S,-0.0
flow_in,2,A2,O,-0.0
flow_in,2,A2,T,-0.0
flow_in,2,A2,M,-1.0
flow_in,2,B1,P,-0.0
flow_in,2,B1,S,-0.0
flow_in,2,B1,O,-0.0
flow_in,2,B1,T,-0.0
flow_in,2,B1,M,-1.0
flow_in,2,B2,P,-0.0
flow_in,2,B2,S,-0.0
flow_in,2,B2,O,-0.0
flow_in,2,B2,T,-0.0
flow_in,2,B2,M,-1.0
flow_in,2,B3,P,-0.0
flow_in,2,B3,S,-0.0
flow_in,2,B3,O,-0.0
flow_in,2,B3,T,-0.0
flow_in,2,B3,M,-1.0
flow_in,2,C1,P,-0.0
flow_in,2,C1,S,-0.0
flow_in,2,C1,O,-0.0
flow_in,2,C1,T,-0.0
flow_in,2,C1,M,-0.0
flow_in,2,C2,P,-0.0
flow_in,2,C2,S,1.0
flow_in,2,C2,O,-0.0
flow_in,2,C2,T,-0.0
flow_in,2,C2,M,-1.0
flow_in,2,D1,P,1.0
flow_in,2,D1,S,1.0
flow_in,2,D1,O,1.0
flow_in,2,D1,T,1.0
flow_in,2,D1,M,-0.0
flow_in,2,D2,P,1.0
flow_in,2,D2,S,1.0
flow_in,2,D2,O,1.0
flow_in,2,D2,T,1.0
flow_in,2,D2,M,-0.0
flow_in,2,D3,P,1.0
flow_in,2,D3,S,1.0
flow_in,2,D3,O,1.0
flow_in,2,D3,T,1.0
flow_in,2,D3,M,-0.0
flow_in,2,E1,P,-0.0
flow_in,2,E1,S,-0.0
flow_in,2,E1,O,-0.0
flow_in,2,E1,T,-0.0
flow_in,2,E1,M,-1.0
flow_in,2,E2,P,-0.0
flow_in,2,E2,S,-0.0
flow_in,2,E2,O,-0.0
flow_in,2,E2,T,-0.0
flow_in,2,E2,M,-1.0
flow_in,3,A1,P,1.0
flow_in,3,A1,S,-0.0
flow_in,3,A1,O,-0.0
flow_in,3,A1,T,-0.0
flow_in,3,A1,M,-1.0
flow_in,3,A2,P,1.0
flow_in,3,A2,S,-0.0
flow_in,3,A2,O,-0.0
flow_in,3,A2,T,-0.0
flow_in,3,A2,M,-0.0
flow_in,3,B1,P,-0.0
flow_in,3,B1,S,-0.0
flow_in,3,B1,O,-0.0
flow_in,3,B1,T,-0.0
flow_in,3,B1,M,-1.0
flow_in,3,B2,P,-0.0
flow_in,3,B2,S,-0.0
flow_in,3,B2,O,-0.0
flow_in,3,B2,T,-0.0
flow_in,3,B2,M,-1.0
flow_in,3,B3,P,-0.0
flow_in,3,B3,S,-0.0
flow_in,3,B3,O,-0.0
flow_in,3,B3,T,-0.0
flow_in,3,B3,M,-1.0
flow_in,3,C1,P,-0.0
flow_in,3,C1,S,-0.0
flow_in,3,C1,O,-0.0
flow_in,3,C1,T,-0.0
flow_in,3,C1,M,-0.0
flow_in,3,C2,P,-0.0
flow_in,3,C2,S,1.0
flow_in,3,C2,O,-0.0
flow_in,3,C2,T,-0.0
flow_in,3,C2,M,-0.0
flow_in,3,D1,P,-0.0
flow_in,3,D1,S,-0.0
flow_in,3,D1,O,-0.0
flow_in,3,D1,T,-1.0
flow_in,3,D1,M,-0.0
flow_in,3,D2,P,-0.0
flow_in,3,D2,S,-0.0
flow_in,3,D2,O,-0.0
flow_in,3,D2,T,-1.0
flow_in,3,D2,M,-0.0
flow_in,3,D3,P,-0.0
flow_in,3,D3,S,-0.0
flow_in,3,D3,O,-0.0
flow_in,3,D3,T,-1.0
flow_in,3,D3,M,-0.0
flow_in,3,E1,P,-0.0
flow_in,3,E1,S,-0.0
flow_in,3,E1,O,-0.0
flow_in,3,E1,T,-0.0
flow_in,3,E1,M,-1.0
flow_in,3,E2,P,-0.0
flow_in,3,E2,S,-0.0
flow_in,3,E2,O,-0.0
flow_in,3,E2,T,-0.0
flow_in,3,E2,M,-1.0
flow_in,4,A1,P,1.0
flow_in,4,A1,S,-0.0
flow_in,4,A1,O,-0.0
flow_in,4,A1,T,-0.0
flow_in,4,A1,M,-0.0
flow_in,4,A2,P,1.0
flow_in,4,A2,S,-0.0
flow_in,4,A2,O,-0.0
flow_in,4,A2,T,-0.0
flow_in,4,A2,M,-0.0
flow_in,4,B1,P,-0.0
flow_in,4,B1,S,-0.0
flow_in,4,B1,O,-0.0
flow_in,4,B1,T,-0.0
flow_in,4,B1,M,-1.0
flow_in,4,B2,P,-0.0
flow_in,4,B2,S,-0.0
flow_in,4,B2,O,-0.0
flow_in,4,B2,T,-0.0
flow_in,4,B2,M,-1.0
flow_in,4,B3,P,-0.0
flow_in,4,B3,S,-0.0
flow_in,4,B3,O,-0.0
flow_in,4,B3,T,-0.0
flow_in,4,B3,M,-1.0
flow_in,4,C1,P,-0.0
flow_in,4,C1,S,-1.0
flow_in,4,C1,O,-0.0
flow_in,4,C1,T,-0.0
flow_in,4,C1,M,-0.0
flow_in,4,C2,P,-0.0
flow_in,4,C2,S,-1.0
flow_in,4,C2,O,-0.0
flow_in,4,C2,T,-0.0
flow_in,4,C2,M,-0.0
flow_in,4,D1,P,-0.0
flow_in,4,D1,S,-0.0
flow_in,4,D1,O,-0.0
flow_in,4,D1,T,-1.0
flow_in,4,D1,M,-0.0
flow_in,4,D2,P,-0.0
flow_in,4,D2,S,-0.0
flow_in,4,D2,O,-0.0
flow_in,4,D2,T,-1.0
flow_in,4,D2,M,-0.0
flow_in,4,D3,P,-0.0
flow_in,4,D3,S,-0.0
flow_in,4,D3,O,-0.0
flow_in,4,D3,T,-1.0
flow_in,4,D3,M,-0.0
flow_in,4,E1,P,-0.0
flow_in,4,E1,S,-0.0
flow_in,4,E1,O,-0.0
flow_in,4,E1,T,-0.0
flow_in,4,E1,M,-0.0
flow_in,4,E2,P,-0.0
flow_in,4,E2,S,-0.0
flow_in,4,E2,O,-0.0
flow_in,4,E2,T,-0.0
flow_in,4,E2,M,-0.0
flow_in,5,A1,P,-1.0
flow_in,5,A1,S,-0.0
flow_in,5,A1,O,-0.0
flow_in,5,A1,T,-0.0
flow_in,5,A1,M,-0.0
flow_in,5,A2,P,-1.0
flow_in,5,A2,S,-0.0
flow_in,5,A2,O,-0.0
flow_in,5,A2,T,-0.0
flow_in,5,A2,M,-0.0
flow_in,5,B1,P,-0.0
flow_in,5,B1,S,-0.0
flow_in,5,B1,O,-0.0
flow_in,5,B1,T,-0.0
flow_in,5,B1,M,-1.0
flow_in,5,B2,P,-0.0
flow_in,5,B2,S,-0.0
flow_in,5,B2,O,-0.0
flow_in,5,B2,T,-0.0
flow_in,5,B2,M,-1.0
flow_in,5,B3,P,-0.0
flow_in,5,B3,S,-0.0
flow_in,5,B3,O,-0.0
flow_in,5,B3,T,-0.0
flow_in,5,B3,M,-1.0
flow_in,5,C1,P,-0.0
flow_in,5,C1,S,-1.0
flow_in,5,C1,O,-0.0
flow_in,5,C1,T,-0.0
flow_in,5,C1,M,-0.0
flow_in,5,C2,P,-0.0
flow_in,5,C2,S,-1.0
flow_in,5,C2,O,-0.0
flow_in,5,C2,T,-0.0
flow_in,5,C2,M,-0.0
flow_in,5,D1,P,-0.0
flow_in,5,D1,S,-0.0
flow_in,5,D1,O,-0.0
flow_in,5,D1,T,-1.0
flow_in,5,D1,M,-0.0
flow_in,5,D2,P,-0.0
flow_in,5,D2,S,-0.0
flow_in,5,D2,O,-0.0
flow_in,5,D2,T,-1.0
flow_in,5,D2,M,-0.0
flow_in,5,D3,P,-0.0
flow_in,5,D3,S,-0.0
flow_in,5,D3,O,-0.0
flow_in,5,D3,T,-1.0
flow_in,5,D3,M,-0.0
flow_in,5,E1,P,-0.0
flow_in,5,E1,S,-0.0
flow_in,5,E1,O,-0.0
flow_in,5,E1,T,-0.0
flow_in,5,E1,M,-0.0
flow_in,5,E2,P,-0.0
flow_in,5,E2,S,-0.0
flow_in,5,E2,O,-0.0
flow_in,5,E2,T,-0.0
flow_in,5,E2,M,-0.0
unavailable,0,E1,P,-0.0
unavailable,0,E1,S,-0.0
unavailable,0,E1,O,-0.0
unavailable,0,E1,T,-0.0
unavailable,0,E1,M,-0.0
unavailable,0,E2,P,-0.0
unavailable,0,E2,S,-0.0
unavailable,0,E2,O,-0.0
unavailable,0,E2,T,-0.0
unavailable,0,E2,M,-0.0
unavailable,1,B1,P,-1.0
unavailable,1,B1,S,-1.0
unavailable,1,B1,O,-2.0
unavailable,1,B1,T,-1.0
unavailable,1,B1,M,-2.0
unavailable,1,B2,P,-1.0
unavailable,1,B2,S,-2.0
unavailable,1,B2,O,-1.0
unavailable,1,B2,T,-1.0
unavailable,1,B2,M,-1.0
unavailable,1,B3,P,-1.0
unavailable,1,B3,S,-1.0
unavailable,1,B3,O,-2.0
unavailable,1,B3,T,-2.0
unavailable,1,B3,M,-1.0
unavailable,2,D1,P,-1.0
unavailable,2,D1,S,-1.0
unavailable,2,D1,O,-1.0
unavailable,2,D1,T,-2.0
unavailable,2,D1,M,-0.0
unavailable,2,D2,P,-1.0
unavailable,2,D2,S,-1.0
unavailable,2,D2,O,-1.0
unavailable,2,D2,T,-2.0
unavailable,2,D2,M,-0.0
unavailable,2,D3,P,-1.0
unavailable,2,D3,S,-1.0
unavailable,2,D3,O,-1.0
unavailable,2,D3,T,-2.0
unavailable,2,D3,M,-0.0
unavailable,3,C1,P,-0.0
unavailable,3,C1,S,-1.0
unavailable,3,C1,O,-0.0
unavailable,3,C1,T,-0.0
unavailable,3,C1,M,-0.0
unavailable,3,C2,P,-0.0
unavailable,3,C2,S,-2.0
unavailable,3,C2,O,-0.0
unavailable,3,C2,T,-0.0
unavailable,3,C2,M,-0.0
unavailable,4,A1,P,-2.0
unavailable,4,A1,S,-0.0
unavailable,4,A1,O,-0.0
unavailable,4,A1,T,-0.0
unavailable,4,A1,M,-0.0
unavailable,4,A2,P,-2.0
unavailable,4,A2,S,-0.0
unavailable,4,A2,O,-0.0
unavailable,4,A2,T,-0.0
unavailable,4,A2,M,-0.0
initial,0,A1,P,2.0
initial,0,A1,S,-0.0
initial,0,A1,O,-0.0
initial,0,A1,T,-0.0
initial,0,A1,M,-0.0
initial,0,A2,P,2.0
initial,0,A2,S,-0.0
initial,0,A2,O,-0.0
initial,0,A2,T,-0.0
initial,0,A2,M,-0.0
initial,0,B1,P,-0.0
initial,0,B1,S,-0.0
initial,0,B1,O,2.0
initial,0,B1,T,-0.0
initial,0,B1,M,1.0
initial,0,B2,P,-0.0
initial,0,B2,S,2.0
initial,0,B2,O,-0.0
initial,0,B2,T,-0.0
initial,0,B2,M,-0.0
initial,0,B3,P,-0.0
initial,0,B3,S,-0.0
initial,0,B3,O,2.0
initial,0,B3,T,2.0
initial,0,B3,M,-0.0
initial,0,C1,P,-0.0
initial,0,C1,S,-0.0
initial,0,C1,O,-0.0
initial,0,C1,T,1.0
initial,0,C1,M,-0.0
initial,0,C2,P,-0.0
initial,0,C2,S,2.0
initial,0,C2,O,-0.0
initial,0,C2,T,-0.0
initial,0,C2,M,-0.0
initial,0,D1,P,-0.0
initial,0,D1,S,-0.0
initial,0,D1,O,-0.0
initial,0,D1,T,1.0
initial,0,D1,M,-0.0
initial,0,D2,P,-0.0
initial,0,D2,S,-0.0
initial,0,D2,O,-0.0
initial,0,D2,T,-0.0
initial,0,D2,M,-0.0
initial,0,D3,P,-0.0
initial,0,D3,S,-0.0
initial,0,D3,O,-0.0
initial,0,D3,T,-0.0
initial,0,D3,M,-0.0
initial,0,E1,P,-0.0
initial,0,E1,S,-0.0
initial,0,E1,O,-0.0
initial,0,E1,T,-0.0
initial,0,E1,M,-0.0
initial,0,E2,P,-0.0
initial,0,E2,S,-0.0
initial,0,E2,O,-0.0
initial,0,E2,T,-0.0
initial,0,E2,M,-0.0
final,5,A1,P,1.0
final,5,A1,S,-0.0
final,5,A1,O,-0.0
final,5,A1,T,-0.0
final,5,A1,M,-0.0
final,5,A2,P,1.0
final,5,A2,S,-0.0
final,5,A2,O,-0.0
final,5,A2,T,-0.0
final,5,A2,M,-0.0
final,5,B1,P,-0.0
final,5,B1,S,-0.0
final,5,B1,O,-0.0
final,5,B1,T,-0.0
final,5,B1,M,1.0
final,5,B2,P,-0.0
final,5,B2,S,-0.0
final,5,B2,O,-0.0
final,5,B2,T,-0.0
final,5,B2,M,1.0
final,5,B3,P,-0.0
final,5,B3,S,-0.0
final,5,B3,O,-0.0
final,5,B3,T,-0.0
final,5,B3,M,1.0
final,5,C1,P,-0.0
final,5,C1,S,1.0
final,5,C1,O,-0.0
final,5,C1,T,-0.0
final,5,C1,M,-0.0
final,5,C2,P,-0.0
final,5,C2,S,1.0
final,5,C2,O,-0.0
final,5,C2,T,-0.0
final,5,C2,M,-0.0
final,5,D1,P,-0.0
final,5,D1,S,-0.0
final,5,D1,O,-0.0
final,5,D1,T,1.0
final,5,D1,M,-0.0
final,5,D2,P,-0.0
final,5,D2,S,-0.0
final,5,D2,O,-0.0
final,5,D2,T,1.0
final,5,D2,M,-0.0
final,5,D3,P,-0.0
final,5,D3,S,-0.0
final,5,D3,O,-0.0
final,5,D3,T,1.0
final,5,D3,M,-0.0
final,5,E1,P,-0.0
final,5,E1,S,-0.0
final,5,E1,O,-0.0
final,5,E1,T,-0.0
final,5,E1,M,-0.0
final,5,E2,P,-0.0
final,5,E2,S,-0.0
final,5,E2,O,-0.0
final,5,E2,T,-0.0
final,5,E2,M,-0.0
